Point,X,Y,Wavelength,Velocity
1,1.75,23.5,6.25,6030.
1,1.75,23.5,6.75,6081.
1,1.75,23.5,7.25,6043.
1,1.75,23.5,7.75,5991.
1,1.75,23.5,8.25,6035.
1,1.75,23.5,8.75,6143.
1,1.75,23.5,9.25,6255.
1,1.75,23.5,9.75,6406.
1,1.75,23.5,10.25,6592.
1,1.75,23.5,10.75,6718.
1,1.75,23.5,11.25,6806.
1,1.75,24,2.25,6690.
1,1.75,24,2.75,6799.
1,1.75,24,3.25,6634.
1,1.75,24,3.75,6412.
1,1.75,24,4.25,6321.
1,1.75,24,4.75,6150.
1,1.75,24,5.25,6066.
1,1.75,24,5.75,5944.
1,1.75,24,6.25,5924.
1,1.75,24,6.75,5956.
1,1.75,24,7.25,5991.
1,1.75,24,7.75,6002.
1,1.75,24,8.25,6027.
1,1.75,24,8.75,6091.
1,1.75,24,9.25,6191.
1,1.75,24,9.75,6293.
1,1.75,24,10.25,6420.
1,1.75,24,10.75,6530.
1,1.75,24.5,2.25,6885.
1,1.75,24.5,2.75,7002.
1,1.75,24.5,3.25,7013.
1,1.75,24.5,3.75,6689.
1,1.75,24.5,4.25,6605.
1,1.75,24.5,4.75,6339.
1,1.75,24.5,5.25,6317.
1,1.75,24.5,5.75,6208.
1,1.75,24.5,6.25,6178.
1,1.75,24.5,6.75,6140.
1,1.75,24.5,7.25,6120.
1,1.75,24.5,7.75,6132.
1,1.75,24.5,8.25,6172.
1,1.75,24.5,8.75,6234.
1,1.75,24.5,9.25,6321.
1,1.75,24.5,9.75,6437.
1,1.75,24.5,10.25,6561.
